,leiden
WASP0001002,2
WASP0001003,2
WASP0001006,14
WASP0001007,3
WASP0001012,0
WASP0001016,3
WASP0001017,10
WASP0001019,6
WASP0001021,11
WASP0001024,2
WASP0001028,2
WASP0001033,5
WASP0001035,6
WASP0001036,0
WASP0001038,2
WASP0001039,18
WASP0001041,0
WASP0001045,4
WASP0001050,3
WASP0001051,13
WASP0001053,6
WASP0001062,0
WASP0001068,0
WASP0001071,0
WASP0001072,4
WASP0001075,10
WASP0001077,6
WASP0001078,7
WASP0001079,11
WASP0001082,13
WASP0001097,3
WASP0001098,10
WASP0001100,3
WASP0001101,2
WASP0001103,0
WASP0001105,8
WASP0001108,0
WASP0001109,9
WASP0001115,8
WASP0001121,0
WASP0001124,0
WASP0001125,3
WASP0001126,1
WASP0001127,1
WASP0001136,21
WASP0001141,0
WASP0001142,0
WASP0001143,3
WASP0001145,3
WASP0001147,0
WASP0001148,0
WASP0001152,11
WASP0001159,3
WASP0001160,7
WASP0001161,7
WASP0001164,4
WASP0001165,3
WASP0001168,13
WASP0001170,7
WASP0001171,0
WASP0001172,3
WASP0001181,3
WASP0001182,21
WASP0001187,0
WASP0001189,3
WASP0001191,4
WASP0001194,0
WASP0001199,13
WASP0001204,10
WASP0001205,21
WASP0001206,8
WASP0001215,7
WASP0001218,3
WASP0001220,13
WASP0001221,6
WASP0001225,13
WASP0001229,0
WASP0001230,3
WASP0001234,1
WASP0001248,3
WASP0001257,13
WASP0001260,0
WASP0001263,10
WASP0001265,3
WASP0001268,3
WASP0001270,9
WASP0001271,0
WASP0001278,4
WASP0001280,0
WASP0001283,8
WASP0001284,0
WASP0001296,3
WASP0001300,0
WASP0001303,0
WASP0001306,2
WASP0001307,3
WASP0001310,8
WASP0001312,7
WASP0001317,9
WASP0001318,6
WASP0001320,7
WASP0001321,12
WASP0001325,11
WASP0001326,20
WASP0001332,16
WASP0001334,4
WASP0001335,16
WASP0001336,3
WASP0001339,0
WASP0001341,2
WASP0001347,11
WASP0001351,4
WASP0001353,21
WASP0001357,1
WASP0001359,4
WASP0001361,12
WASP0001362,3
WASP0001364,0
WASP0001365,12
WASP0001366,2
