,leiden
ML000123a,2
ML000124a,7
ML00017a,6
ML00023a,0
ML000313a,2
ML000316a,0
ML00038a,1
ML00062a,4
ML00066a,5
ML000719a,2
ML000720a,7
ML00072a,3
ML00074a,3
ML00108a,2
ML001110a,2
ML001111a,2
ML001118a,0
ML001119a,2
ML001125a,5
ML001126a,3
ML00143a,8
ML00151a,1
ML00155a,1
ML00158a,5
ML001917a,6
ML001918a,6
ML001922a,6
ML002114a,2
ML002116a,1
ML002120a,0
ML002127a,4
ML002131a,1
ML00214a,1
ML002210a,2
ML002620a,10
ML002637a,1
ML00287a,1
ML00288a,1
ML003016a,4
ML00303a,3
ML00309a,1
ML003225a,8
ML003226a,0
ML003233a,3
ML003242a,0
ML003256a,0
ML003261a,5
ML003272a,5
ML00332a,3
ML00334a,1
ML00338a,2
ML00339a,2
ML003510a,5
ML00358a,0
ML00364a,1
ML00365a,6
ML00383a,5
ML00402a,4
ML004443a,4
ML004511a,7
ML00486a,8
ML004912a,3
ML004913a,0
ML004933a,4
ML00495a,1
ML00496a,0
ML00501a,0
ML005027a,0
ML00502a,0
ML005132a,2
ML005134a,3
ML00516a,0
ML005315a,1
ML00531a,2
ML005320a,1
ML005325a,2
ML005326a,1
ML005328a,1
ML005337a,1
ML005352a,0
ML005360a,5
ML00561a,3
ML005710a,10
ML005716a,0
ML00572a,2
ML00579a,8
ML006111a,0
ML006112a,7
ML006115a,6
ML006118a,6
ML006123a,5
ML00674a,3
ML006925a,3
ML006931a,7
ML00712a,0
ML007334a,1
ML007336a,0
ML007419a,2
ML007422a,5
ML007427a,4
ML007428a,1
ML00745a,3
ML00748a,6
ML007812a,2
ML00787a,4
ML00789a,1
ML00791a,4
ML00792a,4
ML008013a,9
ML00801a,2
ML008110a,4
ML008113a,4
ML008121a,0
ML008122a,0
ML008517a,0
ML00871a,1
ML00874a,0
ML00881a,10
ML008910a,9
ML009119a,0
ML009120a,0
ML009124a,0
ML009128a,8
ML009129a,6
ML009134a,2
ML009137a,4
ML009153a,8
ML00915a,1
ML00956a,4
ML00957a,0
ML00958a,6
ML009614a,1
ML009616a,1
ML00962a,2
ML00975a,0
ML00976a,6
ML00977a,6
ML00978a,4
ML00982a,1
ML00985a,6
ML00995a,4
ML01004a,2
ML010121a,5
ML01015a,2
ML01018a,0
ML010310a,2
ML010311a,1
ML010313a,1
ML010317a,0
ML010520a,1
ML010521a,1
ML01054a,0
ML010612a,7
ML010613a,4
ML010621a,4
ML01068a,5
ML01071a,5
ML01122a,4
ML01161a,5
ML01167a,7
ML011712a,2
ML011720a,0
ML011722a,0
ML011728a,10
ML011730a,3
ML012013a,3
ML012031a,0
ML012033a,0
ML012410a,6
ML012411a,6
ML01249a,6
ML012510a,1
ML012511a,1
ML012512a,5
ML012515a,3
ML012517a,1
ML01251a,0
ML012520a,1
ML01257a,4
ML01312a,8
ML013512a,8
ML013513a,0
ML013517a,6
ML013518a,6
ML013519a,5
ML01353a,4
ML01365a,8
ML01409a,10
ML014110a,9
ML01417a,3
ML01442a,5
ML01449a,1
ML01464a,4
ML014816a,1
ML01482a,10
ML01484a,2
ML01488a,0
ML01501a,4
ML01504a,6
ML01505a,6
ML01506a,4
ML01515a,3
ML01516a,3
ML01535a,10
ML015416a,0
ML01548a,3
ML01549a,0
ML015610a,0
ML015613a,2
ML015620a,0
ML01568a,7
ML015714a,0
ML015722a,2
ML015723a,0
ML015726a,0
ML015748a,0
ML015749a,2
ML015750a,2
ML016211a,2
ML01625a,2
ML01626a,6
ML016310a,4
ML016319a,4
ML016328a,3
ML016365a,1
ML016366a,3
ML016719a,8
ML01737a,6
ML017411a,1
ML017425a,5
ML017426a,1
ML01761a,4
ML01776a,6
ML017922a,7
ML017949a,0
ML01794a,1
ML017950a,0
ML018010a,4
ML018013a,5
ML018017a,7
ML018020a,7
ML018032a,2
ML018039a,4
ML018043a,0
ML01808a,4
ML018111a,1
ML018113a,2
ML01813a,8
ML01823a,5
ML01824a,6
ML01825a,6
ML01862a,7
ML01871a,0
ML019137a,5
ML019148a,6
ML01915a,2
ML019211a,9
ML019235a,3
ML019242a,7
ML01927a,2
ML01928a,7
ML019811a,3
ML020020a,2
ML020021a,5
ML020025a,8
ML020031a,3
ML020034a,3
ML02003a,6
ML020045a,8
ML020046a,10
ML020052a,8
ML020055a,8
ML020057a,1
ML020058a,0
ML02005a,3
ML020064a,7
ML02036a,1
ML020714a,3
ML02072a,3
ML021113a,0
ML021126a,4
ML021129a,5
ML021138a,6
ML021139a,6
ML02115a,2
ML02161a,5
ML02164a,1
ML02165a,2
ML022011a,0
ML022012a,9
ML022013a,1
ML02204a,8
ML02207a,0
ML02212a,9
ML022312a,3
ML022315a,2
ML02234a,0
ML022411a,9
ML02248a,0
ML02252a,5
ML02275a,0
ML02303a,8
ML023112a,3
ML02318a,1
ML02392a,7
ML02402a,6
ML02403a,6
ML02404a,6
ML024112a,8
ML02415a,0
ML02417a,3
ML02421a,10
ML02447a,10
ML025010a,7
ML02501a,0
ML02503a,0
ML02505a,0
ML025211a,7
ML02526a,3
ML02541a,10
ML02547a,4
ML02548a,1
ML02592a,0
ML02636a,3
ML026511a,2
ML02656a,2
ML02736a,9
ML02744a,8
ML02752a,5
ML02755a,1
ML02763a,2
ML02823a,0
ML02824a,7
ML02882a,4
ML02914a,1
ML029517a,0
ML029520a,2
ML02953a,0
ML029619a,3
ML02962a,1
ML02968a,4
ML029914a,0
ML02994a,1
ML030010a,2
ML03001a,2
ML03003a,10
ML03021a,1
ML030228a,3
ML030234a,7
ML03027a,6
ML03028a,6
ML03034a,0
ML030412a,7
ML030415a,4
ML030514a,4
ML03054a,3
ML030911a,1
ML030915a,2
ML031710a,5
ML031718a,2
ML03182a,0
ML03191a,0
ML03193a,3
ML032110a,7
ML032114a,1
ML03222a,3
ML03224a,9
ML03229a,9
ML032317a,3
ML032328a,4
ML032332a,4
ML03234a,9
ML032518a,0
ML03261a,0
ML03266a,8
ML03267a,8
ML03268a,7
ML032910a,4
ML032914a,0
ML032917a,1
ML03291a,0
ML033114a,4
ML033117a,0
ML03311a,6
ML03312a,6
ML03315a,6
ML033217a,3
ML033234a,10
ML033237a,2
ML03326a,3
ML033414a,5
ML033619a,6
ML033620a,2
ML033628a,3
ML03368a,0
ML03394a,3
ML034314a,1
ML034334a,7
ML034336a,7
ML034337a,7
ML03447a,4
ML03453a,10
ML03454a,6
ML034635a,6
ML034636a,6
ML034637a,6
ML034657a,7
ML034664a,0
ML03467a,3
ML03473a,8
ML03474a,3
ML03504a,2
ML03505a,2
ML03508a,9
ML03541a,1
ML03546a,1
ML035811a,3
ML035911a,3
ML035921a,4
ML03631a,0
ML03634a,0
ML03711a,8
ML03782a,7
ML038025a,1
ML03831a,3
ML03835a,3
ML03872a,1
ML03873a,6
ML03874a,6
ML03875a,1
ML039711a,0
ML039722a,2
ML039723a,8
ML039726a,5
ML039727a,5
ML03993a,0
ML04011a,6
ML040412a,2
ML040421a,8
ML040422a,4
ML040515a,2
ML040519a,4
ML04054a,4
ML04055a,4
ML04068a,2
ML04069a,2
ML040735a,4
ML04079a,5
ML04142a,6
ML04144a,6
ML04146a,2
ML04201a,5
ML04204a,1
ML04205a,0
ML04208a,1
ML042111a,3
ML042112a,0
ML04216a,1
ML042719a,0
ML042720a,2
ML04275a,1
ML04283a,2
ML04286a,1
ML043310a,5
ML043311a,2
ML043312a,0
ML043314a,0
ML043315a,6
ML043316a,2
ML043515a,1
ML04352a,3
ML044112a,1
ML044125a,7
ML044127a,3
ML04442a,8
ML044613a,4
ML04466a,2
ML04467a,7
ML044912a,4
ML045210a,5
ML045211a,1
ML04521a,0
ML045230a,7
ML045237a,3
ML045242a,10
ML045246a,3
ML045248a,1
ML045249a,1
ML04524a,1
ML04527a,0
ML04531a,5
ML046117a,1
ML046318a,7
ML046319a,3
ML04631a,4
ML046320a,2
ML046434a,0
ML04649a,0
ML046515a,4
ML046713a,0
ML046724a,0
ML04673a,7
ML04714a,0
ML04718a,1
ML047312a,2
ML047316a,0
ML04734a,4
ML04738a,0
ML04765a,7
ML047911a,9
ML047924a,3
ML047926a,3
ML047935a,0
ML047950a,1
ML04795a,6
ML04796a,6
ML04797a,4
ML048111a,4
ML048120a,0
ML048123a,3
ML048127a,7
ML04816a,0
ML04825a,2
ML04841a,3
ML04861a,1
ML049012a,3
ML049024a,8
ML049025a,3
ML04904a,3
ML04921a,9
ML049611a,8
ML049620a,7
ML049621a,7
ML049622a,7
ML049632a,8
ML04967a,0
ML05002a,1
ML05003a,1
ML05004a,1
ML05021a,4
ML050414a,2
ML05042a,1
ML050711a,4
ML050718a,1
ML05081a,6
ML050826a,6
ML05086a,4
ML051212a,6
ML051213a,2
ML051316a,0
ML051325a,3
ML051331a,0
ML051336a,5
ML05135a,2
ML051420a,1
ML05146a,3
ML051723a,0
ML05175a,2
ML051910a,4
ML051911a,4
ML051912a,4
ML05198a,8
ML05202a,2
ML052315a,3
ML052318a,2
ML05233a,7
ML05253a,3
ML05263a,1
ML05264a,0
ML052910a,6
ML05291a,1
ML05292a,1
ML053014a,8
ML053611a,1
ML053618a,6
ML053619a,6
ML053624a,3
ML053627a,0
ML053632a,3
ML053812a,1
ML054410a,0
ML05442a,4
ML05443a,4
ML05447a,4
ML05472a,0
ML05493a,5
ML055111a,1
ML05516a,0
ML05551a,4
ML055912a,8
ML056710a,3
ML05671a,1
ML056916a,1
ML056951a,5
ML056953a,0
ML056955a,8
ML056956a,8
ML056958a,10
ML057315a,1
ML057318a,0
ML05737a,3
ML05739a,1
ML058011a,1
ML05803a,7
ML05804a,8
ML05806a,2
ML05851a,2
ML05904a,5
ML05926a,0
ML05976a,7
ML05977a,7
ML06033a,3
ML06039a,8
ML061710a,2
ML061715a,5
ML061718a,5
ML06176a,4
ML06177a,5
ML06192a,1
ML062213a,4
ML062216a,0
ML062220a,4
ML062222a,7
ML062226a,2
ML06227a,8
ML06262a,2
ML06328a,7
ML063327a,7
ML063336a,1
ML063337a,2
ML063338a,0
ML06335a,2
ML06363a,5
ML06364a,2
ML06417a,4
ML06455a,8
ML06463a,2
ML064933a,3
ML064936a,5
ML06519a,0
ML065320a,3
ML065325a,1
ML06537a,3
ML065726a,3
ML065728a,3
ML065733a,1
ML065735a,0
ML065736a,0
ML065737a,2
ML065738a,2
ML065743a,5
ML065749a,0
ML065753a,1
ML06575a,1
ML06635a,1
ML06701a,1
ML06703a,3
ML06708a,2
ML067114a,4
ML067115a,7
ML06714a,0
ML06736a,5
ML068111a,1
ML068112a,0
ML068114a,0
ML068122a,0
ML068123a,1
ML068130a,1
ML068319a,0
ML06834a,1
ML06902a,5
ML06903a,2
ML06904a,6
ML069119a,5
ML06913a,1
ML06919a,0
ML069719a,2
ML06974a,8
ML07001a,6
ML07002a,2
ML07012a,10
ML070220a,2
ML070251a,4
ML070253a,1
ML070266a,2
ML070267a,2
ML070268a,4
ML070273a,4
ML070811a,2
ML070812a,5
ML070813a,5
ML070815a,5
ML070817a,4
ML070818a,1
ML070832a,5
ML071128a,0
ML071151a,3
ML071163a,4
ML07116a,7
ML071318a,4
ML071321a,0
ML071324a,0
ML07214a,10
ML07216a,7
ML07245a,4
ML07262a,1
ML073011a,9
ML073013a,1
ML073029a,3
ML073037a,0
ML073044a,7
ML07306a,2
ML073212a,3
ML073222a,0
ML073224a,7
ML073234a,1
ML073238a,1
ML073256a,1
ML073258a,1
ML073266a,5
ML073268a,6
ML073269a,2
ML07333a,0
ML073417a,4
ML073710a,2
ML073711a,3
ML073715a,0
ML073718a,0
ML073911a,6
ML07393a,0
ML07394a,5
ML07395a,6
ML074211a,2
ML074230a,2
ML074233a,0
ML074237a,4
ML07425a,8
ML07426a,0
ML07427a,4
ML07442a,1
ML07453a,9
ML07455a,1
ML07463a,2
ML07464a,2
ML07465a,2
ML074812a,1
ML07573a,10
ML076016a,0
ML076019a,1
ML076024a,8
ML076025a,3
ML076310a,1
ML076913a,2
ML077224a,0
ML07722a,5
ML07727a,6
ML077615a,0
ML077620a,0
ML077624a,6
ML077625a,5
ML07769a,0
ML07861a,1
ML07884a,0
ML07885a,10
ML07887a,3
ML078933a,0
ML07898a,3
ML079712a,1
ML079713a,9
ML079714a,9
ML07971a,2
ML079727a,3
ML079732a,1
ML079733a,2
ML07973a,4
ML079816a,3
ML07996a,0
ML08021a,2
ML08042a,0
ML08063a,6
ML08064a,6
ML08065a,6
ML08066a,0
ML08095a,1
ML08102a,2
ML08103a,0
ML082113a,0
ML082117a,0
ML082119a,2
ML08212a,3
ML082312a,1
ML082318a,4
ML08234a,4
ML08239a,2
ML082611a,1
ML082721a,2
ML08302a,2
ML08307a,9
ML08363a,3
ML08378a,1
ML084210a,0
ML08426a,3
ML08428a,7
ML084429a,3
ML084433a,0
ML084439a,8
ML08444a,3
ML085030a,4
ML08543a,3
ML08545a,4
ML08546a,0
ML08547a,8
ML085721a,0
ML085726a,1
ML085729a,3
ML085735a,7
ML08599a,0
ML08608a,3
ML08632a,0
ML086434a,1
ML086437a,7
ML08645a,2
ML086614a,4
ML086615a,1
ML086616a,2
ML086617a,1
ML086625a,4
ML087112a,7
ML08716b,0
ML08822a,3
ML08832a,5
ML088811a,1
ML08887a,1
ML089214a,4
ML089414a,5
ML089415a,1
ML08941a,9
ML09002a,2
ML090111a,2
ML090125a,8
ML090126a,5
ML09012a,0
ML090210a,3
ML090214a,5
ML090218a,8
ML09072a,3
ML09109a,1
ML091210a,1
ML091219a,2
ML09145a,3
ML091715a,5
ML09171a,1
ML09179a,3
ML09222a,3
ML09256a,0
ML09257a,8
ML09262a,5
ML09267a,5
ML09301a,1
ML093025a,5
ML093041a,3
ML093044a,4
ML093048a,1
ML09309a,0
ML09352a,2
ML09353a,4
ML09422a,8
ML09425a,0
ML09426a,5
ML09432a,0
ML094333a,7
ML094334a,2
ML094335a,1
ML094336a,0
ML09433a,2
ML09462a,5
ML09463a,0
ML09538a,5
ML09539a,2
ML096811a,8
ML096819a,0
ML09681a,8
ML096825a,0
ML096826a,2
ML096921a,1
ML096928a,1
ML09734a,0
ML097524a,4
ML097529a,0
ML09752a,0
ML09832a,3
ML09836a,1
ML09837a,0
ML09844a,1
ML09845a,0
ML09863a,2
ML09927a,5
ML09983a,1
ML100010a,6
ML100012a,10
ML10005a,7
ML10006a,2
ML101010a,0
ML101011a,8
ML10106a,7
ML10109a,3
ML10213a,9
ML102211a,1
ML102213a,2
ML102225a,7
ML102237a,8
ML10224a,7
ML102250a,1
ML102253a,6
ML102915a,1
ML10292a,2
ML10296a,0
ML10299a,0
ML10373a,1
ML10374a,2
ML10377a,5
ML10422a,0
ML10423a,0
ML104315a,6
ML104332a,2
ML104333a,5
ML10433a,8
ML104344a,8
ML104623a,0
ML104634a,8
ML104636a,2
ML10511a,2
ML105414a,5
ML105416a,1
ML105422a,4
ML105425a,1
ML105426a,2
ML105427a,5
ML10543a,9
ML10557a,10
ML10571a,7
ML10595a,0
ML10611a,9
ML10613a,10
ML106625a,5
ML106629a,0
ML108011a,1
ML10801a,0
ML108020a,0
ML10891a,0
ML10941a,8
ML10942a,0
ML11032a,9
ML11054a,0
ML11055a,2
ML11171a,0
ML111727a,10
ML11321a,0
ML11353a,2
ML11431a,2
ML11467a,2
ML11469a,1
ML11542a,6
ML11543a,2
ML11555a,0
ML115610a,1
ML115611a,1
ML115614a,7
ML11561a,3
ML11563a,5
ML11564a,2
ML115912a,1
ML115915a,0
ML11592a,1
ML11615a,2
ML11631a,1
ML11634a,1
ML11636a,6
ML11638a,3
ML11641a,0
ML11642a,0
ML11646a,5
ML11686a,4
ML11689a,3
ML116910a,0
ML116919a,2
ML11691a,10
ML116922a,0
ML116923a,4
ML116925a,1
ML116927a,4
ML11692a,2
ML11695a,3
ML11825a,2
ML119715a,3
ML12044a,4
ML12046a,0
ML120716a,2
ML120726a,2
ML12072a,1
ML120742a,9
ML120755a,5
ML12075a,10
ML12076b,0
ML12231a,8
ML12239a,4
ML123110a,2
ML12319a,4
ML123210a,0
ML12346a,7
ML12347a,2
ML12363a,3
ML124221a,0
ML12583a,3
ML12597a,0
ML12626a,1
ML127017a,3
ML127024a,0
ML12704a,10
ML12782a,0
ML12825a,4
ML128410a,1
ML12841a,0
ML128426a,7
ML12843a,5
ML128448a,2
ML12844a,3
ML12848a,4
ML128616a,1
ML13025a,8
ML13028a,2
ML13041a,1
ML13045a,5
ML13048a,7
ML13059a,0
ML13093a,5
ML13094a,7
ML131118a,3
ML131119a,5
ML13111a,1
ML131122a,4
ML131123a,4
ML131135a,4
ML13165a,2
ML13166a,4
ML132020a,0
ML132021a,1
ML132513a,4
ML132519a,1
ML13331a,1
ML13332a,7
ML13373a,6
ML13376a,6
ML13377a,6
ML13482a,2
ML13537a,6
ML13538a,6
ML135616a,0
ML13582a,1
ML136011a,0
ML136012a,1
ML136014a,1
ML136016a,2
ML136021a,3
ML13611a,5
ML13701a,2
ML13702a,2
ML137115a,1
ML137119a,7
ML13715a,7
ML138310a,0
ML138311a,5
ML139110a,1
ML139113a,3
ML13918a,0
ML13931a,0
ML13972a,6
ML13973a,6
ML141112a,1
ML141114a,7
ML141116a,7
ML141119a,4
ML141126a,1
ML14112a,3
ML14122a,0
ML14123a,3
ML141758a,2
ML14271a,3
ML143023a,1
ML143026a,5
ML14307a,2
ML14308a,2
ML14434a,5
ML14435a,5
ML14523a,0
ML145819a,5
ML145831a,7
ML14586a,1
ML14587a,6
ML14593a,10
ML14594a,0
ML14595a,2
ML14596a,1
ML14597a,9
ML14736a,9
ML14737a,7
ML147610a,1
ML14761a,3
ML14779a,2
ML148513a,2
ML148514a,0
ML148520a,2
ML148523a,8
ML148532a,6
ML148533a,6
ML148534a,6
ML148536a,0
ML148538a,6
ML148539a,6
ML148540a,1
ML148542a,4
ML148544a,4
ML14882a,4
ML148927a,7
ML148947a,2
ML14896a,2
ML149610a,5
ML149624a,3
ML149641a,3
ML149649a,0
ML14968a,4
ML14985a,2
ML15005a,0
ML15007a,0
ML15009a,2
ML15021a,1
ML15042a,1
ML15048a,3
ML1541103a,1
ML1541104a,5
ML1541105a,3
ML1541107a,2
ML1541114a,0
ML1541120a,0
ML154115a,5
ML154130a,2
ML154137a,2
ML154140a,0
ML15414a,2
ML154177a,7
ML154188a,1
ML154192a,6
ML154195a,6
ML154196a,6
ML154197a,6
ML154510a,8
ML154522a,1
ML15631a,1
ML15635a,3
ML156513a,0
ML156515a,2
ML15652a,1
ML15658a,3
ML15976a,3
ML15977a,2
ML16082a,10
ML16113a,5
ML16122a,7
ML16123a,7
ML161319a,1
ML161320a,2
ML161321a,2
ML161322a,5
ML16136a,0
ML16354a,1
ML165814a,6
ML165815a,6
ML16581a,4
ML16592a,1
ML166414a,8
ML166415a,2
ML16643a,0
ML167029a,5
ML167034a,8
ML167037a,1
ML16908a,4
ML16932a,3
ML17038a,6
ML17052a,0
ML172115a,2
ML17306a,7
ML173714a,0
ML173715a,6
ML173716a,6
ML173718a,2
ML174724a,7
ML174735a,0
ML174754a,1
ML174758a,4
ML174764a,0
ML174766a,5
ML17595a,8
ML17596a,8
ML17598a,2
ML17599a,8
ML177213a,2
ML177217a,7
ML17725a,8
ML17923a,3
ML18202a,7
ML18208a,10
ML183515a,7
ML18355a,5
ML18359a,0
ML184410a,1
ML184413a,0
ML18443a,0
ML18541a,5
ML18542a,2
ML185524a,1
ML18558a,6
ML18592a,4
ML18643a,0
ML189322a,4
ML189328a,0
ML18932a,1
ML189336a,4
ML18991a,1
ML19044a,3
ML190614a,3
ML19066a,8
ML19069a,3
ML19124a,4
ML193210a,6
ML193212a,3
ML19404a,1
ML19406a,9
ML19407a,2
ML19672a,1
ML19693a,1
ML19853a,7
ML199115a,10
ML19913a,1
ML19919a,1
ML199816a,9
ML19986a,8
ML19987a,2
ML200219a,4
ML20022a,7
ML200237a,3
ML200238a,3
ML20023a,8
ML200242a,2
ML200255a,9
ML200267a,2
ML20163a,1
ML20262a,8
ML20303a,3
ML20395a,6
ML204410a,7
ML204415a,5
ML204420a,8
ML204421a,3
ML204424a,5
ML204442a,5
ML20448a,7
ML205622a,0
ML20682a,0
ML20683a,1
ML20701a,2
ML20757a,0
ML20758a,10
ML20766a,3
ML207913a,2
ML20793a,3
ML20837a,0
ML20891a,3
ML20893a,5
ML209113a,2
ML209114a,4
ML209118a,1
ML20918a,0
ML210018a,2
ML210020a,0
ML210026a,3
ML21093a,2
ML21094a,6
ML21207a,3
ML21311a,4
ML21313a,5
ML21315a,6
ML214010a,1
ML21405a,5
ML21407a,5
ML214313a,1
ML214317a,0
ML21435a,1
ML215411a,9
ML21583a,9
ML216315a,5
ML21632a,3
ML216336a,3
ML216339a,4
ML216344a,0
ML216347a,8
ML216359a,0
ML21654a,1
ML21657a,0
ML21727a,0
ML21804a,5
ML218818a,7
ML218819a,1
ML218822a,0
ML218837a,8
ML21894a,7
ML21898a,7
ML220722a,1
ML22072a,6
ML22073a,5
ML22084a,0
ML221320a,5
ML221324a,6
ML221332a,3
ML22136a,0
ML22151a,3
ML22166a,5
ML223521a,7
ML223531a,0
ML223532a,0
ML22353a,3
ML22523a,10
ML22678a,7
ML22784a,3
ML23065a,0
ML23068a,0
ML23069a,4
ML231810a,3
ML23186a,2
ML23187a,7
ML233111a,1
ML23313a,8
ML234023a,5
ML234031a,0
ML234510a,3
ML234515a,4
ML234527a,4
ML234529a,2
ML234530a,3
ML234558a,1
ML234561a,1
ML234565a,2
ML238318a,7
ML23833a,1
ML239510a,1
ML24002a,0
ML24281a,10
ML24287a,1
ML24331a,8
ML24811a,0
ML25062a,3
ML25121a,7
ML252812a,9
ML25743a,5
ML257628a,3
ML257636a,1
ML25763a,3
ML25764a,3
ML258225a,1
ML258246a,5
ML258247a,1
ML25829a,2
ML25997a,8
ML25999a,8
ML26071a,3
ML26171a,1
ML261720a,7
ML26173a,2
ML26174a,1
ML26175a,2
ML26178a,5
ML263510a,4
ML26358a,3
ML26511a,8
ML26663a,0
ML26759a,3
ML267912a,8
ML267918a,2
ML26852a,2
ML270522a,7
ML270524a,4
ML270535a,4
ML27055a,1
ML271512a,1
ML271521a,5
ML271532a,8
ML271533a,2
ML271538a,9
ML271539a,9
ML27281a,2
ML273221a,1
ML27362a,0
ML274428a,1
ML274434a,4
ML27467a,3
ML276913a,0
ML276921a,8
ML276928a,5
ML276930a,1
ML276932a,7
ML27697a,7
ML27698a,1
ML278910a,4
ML278913a,1
ML27959a,1
ML279619a,5
ML27967a,5
ML279814a,4
ML279816a,0
ML279828a,3
ML28208a,8
ML282512a,4
ML282527a,0
ML28252a,1
ML283510a,1
ML28357a,1
ML28358a,1
ML285611a,1
ML285612a,5
ML28567a,6
ML28831a,5
ML289712a,4
ML28976a,6
ML293115a,1
ML29319a,10
ML29493a,3
ML29543a,8
ML29544a,2
ML296214a,0
ML29621a,2
ML296220a,5
ML29622a,6
ML29623a,6
ML29625a,3
ML30072a,1
ML30083a,1
ML30201a,0
ML305514a,4
ML305518a,0
ML305521a,8
ML306112a,5
ML306116a,2
ML306119a,7
ML306124a,0
ML306910a,0
ML306911a,2
ML30691a,8
ML30699a,2
ML31013a,8
ML31014a,2
ML311611a,1
ML311617a,8
ML311625a,1
ML311631a,5
ML31404a,2
ML320912a,0
ML320917a,6
ML32214a,3
ML322213a,1
ML32331a,5
ML32591a,2
ML32595a,4
ML327418a,1
ML327439a,3
ML32747a,1
ML329510a,0
ML329516a,1
ML329519a,5
ML32999a,5
ML33424a,2
ML33425a,1
ML33426a,6
ML33428a,3
ML33722a,3
ML33982a,0
ML33984a,0
ML342219a,5
ML342221a,2
ML342229a,7
ML34223a,4
ML34226a,2
ML343422a,9
ML34342a,0
ML34572a,5
ML34633a,0
ML34635a,0
ML34636a,0
ML348720a,0
ML351710a,1
ML351711a,7
ML351714a,0
ML351715a,3
ML351721a,8
ML351723a,3
ML351729a,3
ML351731a,8
ML351742a,1
ML353012a,2
ML353015a,2
ML35302a,0
ML35321a,2
ML356012a,10
ML35651a,0
ML35701a,3
ML35703a,5
ML35706a,3
ML358813a,1
ML358814a,1
ML358815a,6
ML358821a,2
ML358826a,1
ML358827a,0
ML358828a,3
ML358835a,0
ML358836a,2
ML358837a,1
ML358838a,0
ML358839a,4
ML35883a,4
ML35887a,0
ML359311a,0
ML359314a,2
ML35936a,2
ML36131a,2
ML368815a,2
ML368928a,0
ML36923a,2
ML36924a,1
ML36938a,2
ML375911a,3
ML37592a,3
ML37593a,9
ML37595a,4
ML37634a,4
ML388124a,4
ML38812a,5
ML38815a,0
ML398321a,3
ML39838a,2
ML40861a,6
ML40942a,4
ML40943a,5
ML40946a,5
ML40949a,2
ML41273a,5
ML41275a,5
ML41861a,5
ML434310a,5
ML434311a,6
ML434314a,8
ML43437a,6
